,epic_name,tm_name,epic_candname,pl_name,ra,ra_err,ra_str,dec,dec_err,dec_str,k2c_disp,k2c_refdisp,k2c_reflink,k2c_note,k2c_recentflag,k2_campaign_str,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metratio,st_rad,st_raderr1,st_raderr2,st_radlim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_kep,st_keperr,st_keplim,st_bj,st_bjerr,st_bjlim,st_vj,st_vjerr,st_vjlim,st_us,st_userr,st_uslim,st_gs,st_gserr,st_gslim,st_rs,st_rserr,st_rslim,st_is,st_iserr,st_islim,st_zs,st_zserr,st_zslim,st_j2,st_j2err,st_j2lim,st_h2,st_h2err,st_h2lim,st_k2,st_k2err,st_k2lim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_bmvj,st_bmvjerr,st_bmvjlim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,pl_fppprob,pl_fppproblim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranflag
0,EPIC 206032309,2MASS J22445778-1354031,EPIC 206032309.01,,341.24069199999997,0.0,22h44m57.77s,-13.900920999999999,0.0,-13d54m03.3s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,3.0,,,,,,,,,2989.0,,,0.0,,,,,,,,,,0.18,,,0.0,,,,,15.782,,0.0,,,,,,,,,,,,,,,,,,,,,,13.429,0.024,0.0,12.859000000000002,0.027000000000000003,0.0,12.538,0.026000000000000002,0.0,,,,,,,,,,,,,,,,0.57,0.036000000000000004,0.0,0.321,0.037000000000000005,0.0,0.8909999999999999,0.035,0.0,,,4.1107634,,,0.0,2456982.769,,,0.0,0.263,,,0.0,0.05458330000000001,,,0.0,,,,,0.0,,,0.0,,,,,0.04665,,,0.0,0.09,,,0.0,1.01,,,0.0,,,,,1
1,EPIC 206042996,2MASS J22300326-1336364,EPIC 206042996.01,,337.51358,0.0,22h30m03.26s,-13.610113,0.0,-13d36m36.4s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,3.0,,,,,,,,,3893.0,,,0.0,,,,,,,,,,0.57,,,0.0,,,,,16.061,,0.0,18.347,0.24,0.0,16.743,0.08900000000000001,0.0,,,,17.37,0.13,0.0,16.004,0.02,0.0,15.5,0.09,0.0,,,,13.964,0.025,0.0,13.253,0.027999999999999997,0.0,13.071,0.033,0.0,13.04,0.024,0.0,13.081,0.03,0.0,11.794,,-1.0,8.615,,-1.0,1.604,0.256,0.0,0.711,0.038,0.0,0.182,0.043,0.0,0.893,0.040999999999999995,0.0,,,0.35490972,,,0.0,2456979.732,,,0.0,0.0553,,,0.0,0.0445833,,,0.0,,,,,0.25,,,0.0,,,,,0.02145,,,0.0,0.129,,,0.0,1.45,,,0.0,,,,,1
2,EPIC 206049452,2MASS J22180636-1326145,EPIC 206049452.01,,334.52655,0.0,22h18m06.37s,-13.437335999999998,0.0,-13d26m14.4s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,3.0,,,,,,,,,4521.0,,,0.0,,,,,,,,,,0.7,,,0.0,,,,,13.13,,0.0,,,,,,,,,,,,,,,,,,,,,,11.411,0.023,0.0,10.8,0.024,0.0,10.717,0.025,0.0,10.513,0.023,0.0,10.55,0.021,0.0,10.469000000000001,0.076,0.0,8.878,0.494,0.0,,,,0.611,0.033,0.0,0.083,0.035,0.0,0.6940000000000001,0.034,0.0,,,14.454495,,,0.0,2456989.197,,,0.0,0.0843,,,0.0,0.0920833,,,0.0,,,,,0.76,,,0.0,,,,,0.029230000000000003,,,0.0,0.19699999999999998,,,0.0,2.21,,,0.0,,,,,1
3,EPIC 206056433,2MASS J22204295-1315081,EPIC 206056433.01,,335.179047,0.0,22h20m42.97s,-13.252260999999999,0.0,-13d15m08.1s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,3.0,,,,,,,,,4418.0,,,0.0,,,,,,,,,,0.68,,,0.0,,,,,13.251,,0.0,14.868,0.03,0.0,13.651,0.034,0.0,,,,14.290999999999999,0.035,0.0,13.18,0.042,0.0,12.806,0.062,0.0,,,,11.554,0.028999999999999998,0.0,10.998,0.027000000000000003,0.0,10.835999999999999,0.021,0.0,10.742,0.022000000000000002,0.0,10.825,0.021,0.0,10.713,0.10400000000000001,0.0,8.412,,-1.0,1.217,0.045,0.0,0.556,0.04,0.0,0.162,0.034,0.0,0.718,0.036000000000000004,0.0,,,28.564994,,,0.0,2456998.795,,,0.0,0.0914,,,0.0,0.1633333,,,0.0,,,,,0.6,,,0.0,,,,,0.02852,,,0.0,0.201,,,0.0,2.25,,,0.0,,,,,1
4,EPIC 202066192,2MASS J06205938+2607313,EPIC 202066192.01,,95.247452,0.0,06h20m59.39s,26.12538,0.0,+26d07m31.4s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,0.0,,,,,,,,,7824.0,,,0.0,,,,,,,,,,1.87,,,0.0,,,,,14.8,,0.0,,,,,,,,,,,,,,,,,,,,,,14.385,0.026000000000000002,0.0,14.273,0.040999999999999995,0.0,14.341,0.055,0.0,14.312000000000001,0.031,0.0,14.41,0.057,0.0,12.312999999999999,,-1.0,8.832,,-1.0,,,,0.11199999999999999,0.049,0.0,-0.068,0.069,0.0,0.044000000000000004,0.061,0.0,,,3.2923818,,,0.0,2456774.826,,,0.0,0.924,,,0.0,0.0733333,,,0.0,,,,,0.9,,,0.0,,,,,0.1053,,,0.0,1.749,,,0.0,19.6,,,0.0,,,,,1
5,EPIC 202072596,2MASS J06380257+2056215,EPIC 202072596.01,,99.51074200000001,0.0,06h38m02.58s,20.93931,0.0,+20d56m21.5s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,0.0,,,,,,,,,7430.0,,,0.0,,,,,,,,,,1.84,,,0.0,,,,,11.2,,0.0,,,,,,,,,,,,,,,,,,,,,,10.847000000000001,0.022000000000000002,0.0,10.767999999999999,0.021,0.0,10.73,0.018000000000000002,0.0,10.687000000000001,0.022000000000000002,0.0,10.682,0.021,0.0,10.835,0.168,0.0,8.682,,-1.0,,,,0.079,0.03,0.0,0.038,0.027999999999999997,0.0,0.11699999999999999,0.027999999999999997,0.0,,,3.979287,,,0.0,2456772.894,,,0.0,3.5,,,0.0,0.2008333,,,0.0,,,,,0.88,,,0.0,,,,,0.2167,,,0.0,3.346,,,0.0,37.5,,,0.0,,,,,1
6,EPIC 202086968,2MASS J06280135+1623198,EPIC 202086968.01,,97.00563000000001,0.0,06h28m01.35s,16.388849,0.0,+16d23m19.9s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,0.0,,,,,,,,,5693.0,,,0.0,,,,,,,,,,0.96,,,0.0,,,,,12.4,,0.0,,,,,,,,,,,,,,,,,,,,,,11.235,0.024,0.0,10.876,0.022000000000000002,0.0,10.83,0.022000000000000002,0.0,10.68,0.023,0.0,10.745,0.021,0.0,10.722000000000001,0.14,0.0,8.835,,-1.0,,,,0.359,0.033,0.0,0.046,0.031,0.0,0.405,0.033,0.0,,,1.8490876,,,0.0,2456772.183,,,0.0,2.74,,,0.0,0.13,,,0.0,,,,,0.97,,,0.0,,,,,0.2448,,,0.0,1.5430000000000001,,,0.0,17.3,,,0.0,,,,,1
7,EPIC 202090152,2MASS J06441899+2806488,EPIC 202090152.01,,101.07914699999999,0.0,06h44m19.00s,28.113581,0.0,+28d06m48.9s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,0.0,,,,,,,,,6187.0,,,0.0,,,,,,,,,,1.28,,,0.0,,,,,11.4,,0.0,,,,,,,,,,,,,,,,,,,,,,10.39,0.018000000000000002,0.0,10.198,0.017,0.0,10.117,0.013999999999999999,0.0,10.099,0.022000000000000002,0.0,10.121,0.02,0.0,10.012,0.07,0.0,7.965,,-1.0,,,,0.192,0.025,0.0,0.081,0.022000000000000002,0.0,0.273,0.023,0.0,,,4.8045244,,,0.0,2456773.449,,,0.0,0.0678,,,0.0,0.09708330000000001,,,0.0,,,,,0.12,,,0.0,,,,,0.023880000000000002,,,0.0,0.32299999999999995,,,0.0,3.62,,,0.0,,,,,1
8,EPIC 202126847,2MASS J06484831+1709428,EPIC 202126847.01,,102.201302,0.0,06h48m48.31s,17.161909,0.0,+17d09m42.9s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,0.0,,,,,,,,,6005.0,,,0.0,,,,,,,,,,1.14,,,0.0,,,,,12.4,,0.0,,,,,,,,,,,,,,,,,,,,,,11.36,0.022000000000000002,0.0,11.093,0.031,0.0,11.030999999999999,0.021,0.0,10.895999999999999,0.023,0.0,10.932,0.021,0.0,11.056,0.14800000000000002,0.0,8.977,,-1.0,,,,0.267,0.038,0.0,0.062,0.037000000000000005,0.0,0.32899999999999996,0.03,0.0,,,4.1687922,,,0.0,2456774.07,,,0.0,1.69,,,0.0,0.2754167,,,0.0,,,,,0.95,,,0.0,,,,,0.1802,,,0.0,1.436,,,0.0,16.1,,,0.0,,,,,1
9,EPIC 201126503,2MASS J11434522-0552228,EPIC 201126503.01,,175.938416,0.0,11h43m45.22s,-5.873002,0.0,-05d52m22.8s,CANDIDATE,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,1,1.0,,,,,,,,,3919.0,,,0.0,,,,,,,,,,0.57,,,0.0,,,,,17.275,,0.0,,,,,,,,,,,,,,,,,,,,,,15.073,0.038,0.0,14.42,0.055,0.0,14.23,0.07,0.0,,,,,,,,,,,,,,,,0.653,0.067,0.0,0.19,0.08900000000000001,0.0,0.843,0.08,0.0,,,1.1947488,,,0.0,2456810.382,,,0.0,0.448,,,0.0,0.0804167,,,0.0,,,,,0.0,,,0.0,,,,,0.06005,,,0.0,0.374,,,0.0,4.19,,,0.0,,,,,1
