,kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score
0,8247638,K00907.04,Kepler-251 e,296.56622000000004,0.0,19h46m15.89s,44.105862,0.0,+44d06m21.1s,15.783,,15.187000000000001,,14.982999999999999,,14.89,,13.96,0.031,13.595999999999998,0.028999999999999998,13.632,0.042,15.222999999999999,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,4,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),18.3,,0.82,198.7001,0.0074,-0.0074,0.0,,,,,,4.08,,,0.409,,,0.94,0.18,-0.18,5.2728,,,,,,907.0,,,99.6368,0.002,-0.002,0.0343,0.0018,-0.0018,63.0,21.0,-21.0,,,,406.0,,,5634.0,,,4.32,,,,,,1.09,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455031.7,0.0074,-0.0074,,,,,,,,,,,,,
1,8255887,K00908.01,Kepler-720 b,298.63565,0.0,19h54m32.56s,44.17094,0.0,+44d10m15.4s,15.787,,15.077,,14.824000000000002,,14.727,,13.785,0.028999999999999998,13.39,0.037000000000000005,13.243,0.028999999999999998,15.113,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),540.2,,1.35,171.44572,0.00016,-0.00016,0.0,,,,,,11.26,,,0.054000000000000006,,,0.02,0.56,-0.56,3.1677,,,,,,7998.0,,,4.708327,2.4e-06,-2.4e-06,0.0802,0.001,-0.001,12.3,1.8,-1.8,,,,1161.0,,,5391.0,,,4.2,,,,,,1.29,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455004.446,0.00016,-0.00016,,,,,,,,,,,,,
2,8256049,K00909.01,,298.67862,0.0,19h54m42.87s,44.175499,0.0,+44d10m31.8s,16.910999999999998,,15.633,,15.115,,14.824000000000002,,13.623,0.03,12.988,0.031,12.818,0.027999999999999997,15.654000000000002,,q1_q6_kepler_candidates,Done,,FALSE POSITIVE,FALSE POSITIVE,1,,,,,,,,,,,151.3,,,172.7616,,,,,,,,,,,,,,,,,,2.92,,,,,,6829.0,,,16.3719022,,,,,,,,,,,,,,,4070.0,,,4.7330000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.2,,1.0,,7.2,,,,,,,,APO Binary,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455005.762,,,,,,,,,,,,,,,
3,8414716,K00910.01,Kepler-721 b,284.43051,0.0,18h57m43.32s,44.48053,0.0,+44d28m49.9s,16.345,,15.555,,15.353,,15.232000000000001,,14.187000000000001,0.026000000000000002,13.739,0.03,13.627,0.048,15.651,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),62.6,,1.14,171.7242,0.0014,-0.0014,0.0,,,,,,2.88,,,0.057,,,0.79,0.37,-0.37,3.1037,,,,,,1186.0,,,5.392066000000001,2.3e-05,-2.3e-05,0.035,0.0018,-0.0018,9.0,2.3,-2.3,,,,804.0,,,5017.0,,,4.62,,,,,,0.75,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455004.724,0.0014,-0.0014,,,,,,,,,,,,,
4,8490993,K00911.01,Kepler-722 b,290.26328,0.0,19h21m03.19s,44.55645,0.0,+44d33m23.2s,15.852,,15.34,,15.205,,15.145,,14.261,0.022000000000000002,13.949000000000002,0.031,13.841,0.044000000000000004,15.399000000000001,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),30.5,,1.12,171.007,0.0022,-0.0022,0.0,,,,,,2.36,,,0.05,,,0.76,0.66,-0.66,2.3292,,,,,,578.0,,,4.093603,2.8999999999999997e-05,-2.8999999999999997e-05,0.0239,0.0028,-0.0028,9.3,3.5,-3.5,,,,1092.0,,,5820.0,,,4.52,,,,,,0.91,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455004.0069999998,0.0022,-0.0022,,,,,,,,,,,,,
5,8505670,K00912.01,Kepler-252 c,295.57935,0.0,19h42m19.04s,44.545959,0.0,+44d32m45.5s,16.15,,14.989,,14.59,,14.388,,13.24,0.025,12.65,0.022000000000000002,12.466,0.018000000000000002,15.058,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,2,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),84.9,,1.22,171.8036,0.001,-0.001,0.0,,,,,,1.97,,,0.077,,,0.29,0.86,-0.86,2.9606,,,,,,1640.0,,,10.848507000000001,3.1e-05,-3.1e-05,0.0364,0.0045,-0.0045,28.0,11.0,-11.0,,,,472.0,,,4214.0,,,4.76,,,,,,0.5,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455004.804,0.001,-0.001,,,,,,,,,,,,,
6,8505670,K00912.02,Kepler-252 b,295.57935,0.0,19h42m19.04s,44.545959,0.0,+44d32m45.5s,16.15,,14.989,,14.59,,14.388,,13.24,0.025,12.65,0.022000000000000002,12.466,0.018000000000000002,15.058,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,2,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),21.9,,1.12,137.4338,0.0031,-0.0031,0.0,,,,,,1.08,,,0.055999999999999994,,,0.7,0.65,-0.65,1.8745,,,,,,420.0,,,6.668392,5.6000000000000006e-05,-5.6000000000000006e-05,0.0199,0.0024,-0.0024,20.2,8.0,-8.0,,,,553.0,,,4214.0,,,4.76,,,,,,0.5,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2454970.434,0.0031,-0.0031,,,,,,,,,,,,,
7,8544996,K00913.01,Kepler-723 b,284.83047,0.0,18h59m19.31s,44.658138,0.0,+44d39m29.3s,15.725,,15.147,,14.972000000000001,,14.888,,13.949000000000002,0.026000000000000002,13.593,0.021,13.499,0.046,15.198,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),1289.4,,4.15,169.6367,5.9999999999999995e-05,-5.9999999999999995e-05,0.0,,,,,,9.96,,,0.047,,,0.03,0.18,-0.18,3.2244,,,,,,18075.0,,,4.0822769,8e-07,-8e-07,0.12133,0.00039,-0.00039,10.86,0.4,-0.4,,,,965.0,,,5463.0,,,4.61,,,,,,0.75,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455002.637,5.9999999999999995e-05,-5.9999999999999995e-05,,,,,,,,,,,,,
8,8552202,K00914.01,,288.72665,0.0,19h14m54.40s,44.60751,0.0,+44d36m27.0s,15.88,,15.329,,15.152999999999999,,15.075,,14.152999999999999,0.053,13.764000000000001,0.055999999999999994,13.648,0.057999999999999996,15.370999999999999,,q1_q6_kepler_candidates,Done,,CANDIDATE,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),19.0,,1.29,169.7412,0.0026,-0.0026,0.0,,,,,,1.59,,,0.045,,,0.57,0.1,-0.1,3.2262,,,,,,563.0,,,3.8866089999999995,3.2e-05,-3.2e-05,0.02131,0.00058,-0.00058,7.82,0.065,-0.065,,,,942.0,,,5479.0,,,4.66,,,,,,0.68,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455002.741,0.0026,-0.0026,,,,,,,,,,,,,
9,3247396,K00121.01,,294.46088,0.0,19h37m50.61s,38.383461,0.0,+38d23m00.5s,13.088,,12.71,,12.618,,12.589,,11.722999999999999,0.024,11.472000000000001,0.028999999999999998,11.437000000000001,0.021,12.759,,q1_q6_kepler_candidates,Done,,FALSE POSITIVE,FALSE POSITIVE,1,,,,,,,,,,,60.3,,,136.45332,,,,,,,,,,,,,,,,,,3.65,,,,,,386.0,,,8.811135499999999,,,,,,,,,,,,,,,6197.0,,,3.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,-2.8,,2.8,,,,,,,,APO Binary 1.2arcsecSW,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2454969.453,,,,,,,,,,,,,,,
