# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Feb 20 13:06:31 2020
#
# COLUMN epic_name:      EPIC Name
# COLUMN tm_name:        2MASS Designation
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_fppprob:     False Positive Probability
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_bj:          B-band (Johnson) [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_us:          u-band (Sloan) [mag]
# COLUMN st_gs:          g-band (Sloan) [mag]
# COLUMN st_rs:          r-band (Sloan) [mag]
# COLUMN st_is:          i-band (Sloan) [mag]
# COLUMN st_zs:          z-band (Sloan) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_h2:          H-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_wise1:       WISE 3.4um [mag]
# COLUMN st_wise2:       WISE 4.6um [mag]
# COLUMN st_wise3:       WISE 12.um [mag]
# COLUMN st_wise4:       WISE 22.um [mag]
# COLUMN st_bmvj:        B-V (Johnson) [mag]
# COLUMN st_jmh2:        J-H (2MASS) [mag]
# COLUMN st_hmk2:        H-Ks (2MASS) [mag]
# COLUMN st_jmk2:        J-Ks (2MASS) [mag]
#
rowid,epic_name,tm_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,pl_fppprob,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini,st_kep,st_bj,st_vj,st_us,st_gs,st_rs,st_is,st_zs,st_j2,st_h2,st_k2,st_wise1,st_wise2,st_wise3,st_wise4,st_bmvj,st_jmh2,st_hmk2,st_jmk2
1,EPIC 201092629,2MASS J12045739-0648180,EPIC 201092629.01,K2-241 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12h04m57.45s,181.239365,-06d48m17.7s,-6.804924,26.81990000,2457584.206300,0.090000,0.1708000,0.4100,,43.300000,0.03120,2.550,,507,,,,,,,,,,11.858,12.414,11.970,,12.336,11.697,11.653,,10.442,9.988,9.933,9.879,9.938,9.938,8.564,0.444,0.454,0.055,0.509
2,EPIC 201102594,2MASS J11592060-0631042,EPIC 201102594.01,K2-242 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,11h59m20.62s,179.835907,-06d31m04.3s,-6.517851,6.51389000,2457586.240000,0.624000,0.0833000,0.4200,,22.100000,0.06330,2.540,,416,,,,,,,,,,15.615,18.047,16.588,,17.340,15.978,14.876,,12.621,12.015,11.777,,,,,1.459,0.606,0.238,0.844
3,EPIC 201110617,2MASS J12104805-0617391,EPIC 201110617.01,K2-156 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,12h10m48.04s,182.700180,-06d17m39.1s,-6.294205,0.81314900,2457583.140930,,,,84.005,4.420602,0.01704,1.144,0.100,,1.000000e-04,,,4460.00,4.68,-0.330,[Fe/H],0.62,,12.947,14.637,13.424,,14.049,12.915,12.475,,11.139,10.572,10.391,10.350,10.408,10.256,8.608,1.213,0.567,0.181,0.748
4,EPIC 201110617,2MASS J12104805-0617391,EPIC 201110617.01,K2-156 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12h10m48.04s,182.700180,-06d17m39.1s,-6.294205,0.81314000,2457583.142700,0.029000,0.0542000,0.4100,,4.100000,0.01610,1.150,,1347,,,,,,,,,,12.947,14.637,13.424,,14.049,12.915,12.475,,11.139,10.572,10.391,10.350,10.408,10.256,8.608,1.213,0.567,0.181,0.748
5,EPIC 201111557,2MASS J12152316-0616056,EPIC 201111557.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30183000,2457583.168800,2.268000,0.0792000,0.4200,,11.800000,0.01440,1.120,,1054,,,,,,,,,,11.363,12.737,11.728,,12.217,11.315,10.997,,9.873,9.391,9.220,9.186,9.243,9.183,8.200,1.009,0.482,0.171,0.653
6,EPIC 201111557,2MASS J12152316-0616056,EPIC 201111557.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,0,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30236800,2457583.162060,,,,87.444,12.619867,0.01692,1.313,0.120,,1.220000e-03,,,4720.00,4.50,-0.060,[Fe/H],0.71,,11.363,12.737,11.728,,12.217,11.315,10.997,,9.873,9.391,9.220,9.186,9.243,9.183,8.200,1.009,0.482,0.171,0.653
7,EPIC 201126503,2MASS J11434522-0552228,EPIC 201126503.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h43m45.22s,175.938416,-05d52m22.8s,-5.873002,1.19474880,2456810.382000,0.448000,0.0804167,0.0000,,,0.06005,4.190,0.374,,,,,3919.00,,,,0.57,,17.275,,,,,,,,15.073,14.420,14.230,,,,,,0.653,0.190,0.843
8,EPIC 201127519,2MASS J12052929-0550531,EPIC 201127519.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17887000,2457585.547300,1.303000,0.1042000,0.1700,,18.100000,0.10580,8.840,,772,,,,,,,,,,11.558,12.787,11.775,,12.254,11.401,11.260,,10.014,9.569,9.430,,,,,1.012,0.445,0.139,0.584
9,EPIC 201127519,2MASS J12052929-0550531,EPIC 201127519.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,0,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17836900,2457585.551310,,,,88.797,17.277258,0.11511,9.913,0.880,,,,,5015.00,4.67,0.240,[Fe/H],0.79,,11.558,12.787,11.775,,12.254,11.401,11.260,,10.014,9.569,9.430,,,,,1.012,0.445,0.139,0.584
10,EPIC 201128338,2MASS J12063188-0549386,EPIC 201128338.01,K2-152 b,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12h06m31.87s,181.632797,-05d49m38.7s,-5.827410,32.64790000,2457608.622200,0.159000,0.1667000,0.2500,,58.800000,0.03440,2.290,,337,,,,,,,,,,13.114,15.098,13.728,,14.453,13.125,12.539,,10.956,10.277,10.096,10.016,10.039,9.990,8.581,1.370,0.679,0.181,0.860
